2026-07-05 20:34:20 | INFO    | run_pipeline | === INICIO pipeline de ventas ===
2026-07-05 20:34:20 | INFO    | ingest | Leyendo archivo de entrada: D:\Computadora Huawei\Acad�mico\CoderHouse\DataEngineering\proyecto-integrador-dataeng\data\ventas.csv
2026-07-05 20:34:20 | INFO    | ingest | Ingesta completada: 1000 filas, 4 columnas
2026-07-05 20:34:20 | INFO    | validate | check columnas_requeridas      OK (todas presentes)
2026-07-05 20:34:20 | INFO    | validate | check min_filas                OK (filas=1000 (min=1))
2026-07-05 20:34:20 | INFO    | validate | check no_nulos::fecha          OK (nulos=0)
2026-07-05 20:34:20 | INFO    | validate | check no_nulos::producto_id    OK (nulos=0)
2026-07-05 20:34:20 | INFO    | validate | check no_nulos::cantidad       OK (nulos=0)
2026-07-05 20:34:20 | INFO    | validate | check no_nulos::precio_unitario OK (nulos=0)
2026-07-05 20:34:20 | INFO    | validate | check positivos::cantidad      OK (<=0 => 0)
2026-07-05 20:34:20 | INFO    | validate | check positivos::precio_unitario OK (<=0 => 0)
2026-07-05 20:34:20 | INFO    | transform | Transformando 1000 filas de entrada
2026-07-05 20:34:20 | INFO    | transform | Transformaci�n completada: 426 filas agregadas (ingreso total global=342413.79)
2026-07-05 20:34:20 | INFO    | load | Resultado escrito en Parquet: D:\Computadora Huawei\Acad�mico\CoderHouse\DataEngineering\proyecto-integrador-dataeng\output\ingresos_por_producto_fecha.parquet (426 filas)
2026-07-05 20:34:20 | INFO    | load | Copia CSV escrita en: D:\Computadora Huawei\Acad�mico\CoderHouse\DataEngineering\proyecto-integrador-dataeng\output\ingresos_por_producto_fecha.csv
2026-07-05 20:34:20 | INFO    | metrics | M�tricas escritas en textfile: D:\Computadora Huawei\Acad�mico\CoderHouse\DataEngineering\proyecto-integrador-dataeng\output\metrics\ventas_pipeline.prom
2026-07-05 20:34:20 | INFO    | run_pipeline | Resumen: {"parquet": "output/ingresos_por_producto_fecha.parquet", "csv": "output/ingresos_por_producto_fecha.csv"}
2026-07-05 20:34:20 | INFO    | run_pipeline | === FIN pipeline en 0.039s (ingreso_total=342413.79) ===
